text,target
"['KIGALI Feb. 3 (Xinhua) -- Landslides triggered by heavy downpour on Sunday left 13 people dead and two others injured in different parts of Rwanda the Ministry of Emergency Management said Monday warning that the death toll could rise.' '' ""Majority of those killed were from the capital Kigali's Kicukiro Gasabo and Nyarugenge districts Olivier Kayumba the Permanent Secretary in Rwanda's Ministry of Emergency Management told reporters in a news briefing."" '' 'In one of the incidents a landslide destroyed a house in Kanombe sector Kicukiro district killing three family members a mother and two children he said.' '' 'He added that dozens lost their homes after 15 houses were destroyed in different districts.' '' 'Kayumba said rescue efforts were ongoing by residents and local leaders.' '' ""At least 70 people were killed while 177 were injured by natural disasters triggered by heavy rains across Rwanda between January and September last year according to data released by Rwanda's Ministry of Emergency Management.""]",1
['N/A'],1
['At least 18 people have died in a landslide in Western Province of Rwanda.' '' 'Heavy rain triggered a massive landslide in Rwankuba sector of Karongi district in Western Province late on Sunday 06 May 2018. Dozens of homes were destroyed. Rwanda Red Cross says that at least 300 people are homeless. The Red Cross added that around 12 people have been injured.' '' 'The country’s Ministry of Disaster Management and Refugee Affairs (MIDIMAR) said that at least 18 people died in Karongi. Minister De Bonheur Jeanne along with the Governor of Western Province joined the population of Rwankuba sector for the funeral of 15 victims today Tuesday 08 May adding that three other victims were buried yesterday.'],1
['A bride and her groom who were injured in a road accident on the way to their wedding on Sunday afternoon are in stable condition and could be discharged from hospital soon medics have said.' '' 'The wreckage of the car that the bride and groom were travelling in. Medics say the couple is now in stable condition. (Courtesy)' '' 'The accident on the Huye-Nyanza road left Josephine Mukarurangwa 33 with serious injuries on the head which forced her into coma. Her cervical spine was also fractured leaving her in a critical condition.' '' 'Shortly after the accident the wife-to-be was rushed to King Faisal Hospital in Kigali for emergency care.On Monday she underwent successful surgery Dr Emile Rwamasirabo the hospital’s Director General told The New Times on Monday.' '' 'Dr Alex Butare an Orthopaedic-surgeon carried out the operation.' '' '“It was a delicate operation but it went well” Dr Rwamasirabo said. “She is in a stable condition. She is steadily improving and recovering.”' '' 'The medic said doctors continue to monitor Mukarurangwa who is also said to be out of coma.' '' 'Meanwhile officials at Nyanza Hospital where the groom was admitted after the accident said he could be discharged soon.' '' 'Phenias Niyifasha sustained minor injuries in the tragic accident that prematurely ended his wedding ceremony and left many guests in shock.' '' 'Dr Lwesso Guillain Mununga Nyanza Hospital Director said Niyifasha is “out of danger.” “He is doing well and might be discharged anytime” Dr Mununga said.' '' 'At the time of the accident on Sunday afternoon the couple and their guests were driving from an introduction and dowry giving ceremony in Huye to Nyanza District where they were due to exchange their vows.' '' 'But upon reaching Kinkanga village Rusatira Sector Huye District the driver of a Haval jeep the couple was travelling in lost control as he tried to overtake a Nissan Horizon Coach bus.' '' 'The jeep was headed for a head-on collision with an oncoming Coaster bus and as the driver struggled to avoid the crash he veered off the road as a result Police earlier told The New Times.' '' 'Four individuals travelling in the jeep including the bride and the groom sustained injuries and were rushed to various hospitals including Nyanza Hospital the University Teaching Hospital of Butare and King Faisal Hospital Kigali.' '' 'One of the victims was discharged late on Sunday as he was declared to be safe.' '' 'The Huye accident came hardly a week after a deadly road accident killed 15 people and left more than 20 others in critical condition in the eastern district of Gatsibo.' '' 'At least 1324 road accidents were reported in the first half of 2014 killing 97 people according to Police figures.'],1
['KIGALI (Reuters) - Unknown assailants killed eight people on Friday night in Rwanda’s northern area near the Volcanoes National Park that is popular with tourists for its mountain gorillas police said on Saturday.' '' 'The attackers many of them carrying traditional weapons attacked Kinigi sector in Musanze district a tourist hub where visitors visit the park to view the gorillas an endangered species.' '' '“Those criminals killed eight people including six who were killed using traditional weapons and two who were shot dead. 18 people were injured and are being attended by doctors” police spokesman John Bosco Kabera said in a statement.' '' 'Security personnel were searching for the attackers he said.' '' 'Police did not say whether any tourists were among those killed. However the hotels in the area are heavily guarded by the military and are unlikely to have been attacked.' '' 'It was not clear who the attackers were or where they came from but Rwanda has in the past seen incursions by fighters from the rebel FDLR force from their bases in eastern Democratic Republic of Congo.' '' 'The FDLR is composed of former Rwandan soldiers and Hutu militias who fled after taking part in the 1994 genocide in Rwanda.' '' 'Over the years various groups opposed to Rwanda have found sanctuary in DRC’s vast eastern jungles from where they have occasionally launched attacks on the country.'],1
['A horrific road accident involving two public vehicles killed 15 people and injured dozens others in Gatsibo District Eastern Province on Tuesday this week. The fatal incident took place at an accident blackspot in the Kiziguro area along the Kigali-Kagitumba highway.' '' 'The tragedy followed several other accidents which cost lives.' '' 'At least 1324 road accidents were reported between January and June this year down from 2356 cases recorded over a similar period last year with road accident deaths falling to 97 from 141 according to police report.' '' 'Police has advised motorists to take great caution every time they are on the road especially when approaching accident blackspots.' '' '“Drivers should always observe traffic rules to minimise the risk of accidents. But they need to take extra care in some particular spots” Supt Jean Marie Vianney Ndushabandi the spokesman of the traffic police department told The Saturday Times.' '' 'The blackspots are located in different locations on the country’s highways.' '' 'For instance in Southern Province Police has warned about a blackspot corner known as Ku Mukobwa Mwiza in Huye District. Many deadly accidents have previously taken place at this spot about three kilometers from Huye town.' '' 'Drivers have attributed the accidents at that spot to the poor state of the road and the difficulty with which motorists are required to negotiate the corner which might explain why many accidents that have occurred there involve drivers who are unfamiliar with the road. But police attribute most accidents at the spot to speeding.' '' 'In Kamonyi District there are blackspots at Gacurabwenge Musambira’s hill and Gihinga’s corner according to Supt Urbain Mwiseneza the Police spokesman in Southern Province.' '' 'In Kirehe District Eastern Province and in Rubavu district Western Province (near Mahoko market) there are dangerous corners that several motorists have failed to negotiate causing deaths in the process.' '' 'Another notorious accident blackspot is located in Nyungwe National Park where many people have lost lives.' '' 'Ndushabandi said all these accident blackspots have one thing in common. “In most cases they are in dangerous corners and the driver has no idea what is lying ahead; the solution is for drivers to slow down and remain vigilant whenever they are in such a situation.”' '' 'Drivers point fingers' '' 'Speaking to The Saturday Times some drivers accused fellow drivers of recklessness. “Blackspots aside there is official speed limit but some drivers simply disregard this. These rules need to be respected and enforced otherwise we will continue to lose lives” said David Mpira a businessman in Kigali who has been driving for the last eight years.' '' '“It is clear that the Gatsibo accident was caused by speeding. I could possibly understand if it had occurred in a corner which was not the case it’s clear that speeding was the major factor” he added. Both drivers in the Tuesday accident died on spot.' '' 'Mpiranya also warned against reckless driving around other notorious accident blackspots such as Kukabuga ka Musha in Rwamagana District and Kuri Buranga in Gakenke District.' '' 'Fatigue' '' 'Some drivers also blamed most accidents on fatigue pointing out that some motorists are behind the wheel half-asleep. A driver with Horizon Express Company that plies Kigali-Butare route said he sometimes makes five return trips to Butare everyday which he said is wearying.' '' '“I do it because I want to keep my job otherwise it’s so challenging that’s why sometimes a driver can actually dose off behind the wheel” he told this reporter at Nyabugogo bus terminal shortly before  embarking on his fourth return trip to Huye yesterday.' '' 'Speaking on condition of anonymity for fear of retribution the driver said he has been working with Horizon Express Company for over four years now.' '' 'Last year he narrowly avoided what could have been a fatal crash with a truck in Kamonyi he said. “It was luck but I hit a roadside tree.”' '' 'Etienne Gakuba a truck driver also said their bosses demand a lot from them which puts a strain on them. Speaking on Friday he said he had just returned to Kigali from Uganda where he spent two days searching for beans to import.' '' 'He said on Thursday the second day of their search for beans in remote Ugandan villages truck owner called him and told him they must be in Nyabugogo Kigali the following day (Friday) which the driver said was strenuous.' '' 'The association of transporters known by its acronym as ATPR admits fatigue could be playing a major part in road accidents.' '' 'Charles Ngarambe the ATPR chairman said “we have consulted with the traffic police department and Rura (the regulatory body) on how to handle issues related to overworking.”' '' 'He said having identified that as one of the probable causes of fatigue on the part of drivers their association came up with a decision to introduce a form of contract between the driver and the vehicle owner clearly stating maximum hours the former is expected to work a day.' '' 'New measures' '' 'He said this arrangement which may include working shifts is expected to start next month.' '' 'With this Ngarambe said drivers will nolonger blame fatigue when they get involved in accidents.' '' 'Meanwhile Supt. Ndushabandi said police has stepped up traffic surveillance on major roads  including officers riding motorbikes and in vehicles. He urged the public to stand up and help ensure their safety on the road.' '' 'Following the Gatsibo road tragedy Internal Security minister Musa Fazil Harerimana on Wednesday convened an emergency meeting during which it was decided that public transport buses and heavy trucks must immediately install speed governors pending ministerial instructions on new measures to curb road accidents.' '' 'The meeting also agreed on imposing severe penalties for defiant drivers reviewing the existing instructions governing use of bicycles on main roads and setting up of a taskforce to review and monitor road safety measures.'],1
['Aimable Mbonimana is a survivor of the tragic road accident that occurred yesterday morning in a busy shopping area in Kicukiro a Kigali suburb claiming the lives of at least seven people and injuring nine others.' '' 'Mbonimana was driving a Toyota Corolla that was hit by a Mercedes-Benz truck that suffered break failure on its descent from Gahanga down to Kicukiro Centre.' '' 'He was heading to the nearby Kicukiro District head offices when he saw an oncoming speeding truck behind him before it hit the left side of his saloon car from the rear.' '' '“I saw the truck speeding down from Nyanza right behind me” he said. “In a split-second I fidgeted to get out of the way and somehow escaped narrowly as the truck sped past knocking down everything in its path” Mbonimana said.' '' 'The visibly shaken motorist added: “I was alone in my car and still can’t figure out how I have survived. My car was right in front of the truck it’s a miracle God has saved me.”' '' 'Innocent Twagirimana a taxi-moto rider was at the same spot as one of his colleagues who lost his life when the truck laden with construction sand rammed into the busy trading area.' '' '“I can’t find the words to explain what I saw” he told Saturday Times from the scene of the accident moments after the tragedy. “We were a group of about 50 motorcyclists in the same area where we normally wait for passengers from when all of a sudden I heard desperate cries and shouts” Twagirimana said' '' '“I don’t remember what happened immediately after seeing a truck in our midst I only found myself lying on lawn on the roadside then I saw blood and mutilated bodies and human organs all over the place it’s so terrifying. I don’t know how I’m still alive I lost my good friend who was right next to me when it happened.”' '' 'Aristarque Sengimana an MTN agent in the area witnessed the ill-fated truck hit a woman who was walking with a baby strapped to her back. He said the woman did not die but he wasn’t sure about the fate of the baby.' '' 'The heavily-loaded truck hit several vehicles commercial motorcyclists and pedestrians before ramming into a KBS bus.' '' 'Jean-Marie Ndushabandi the spokesperson for Traffic and Road Safety Department of the Rwanda National Police confirmed that seven people including the driver of the truck died in the accident.' '' 'Twelve other vehicles were involved in the accident.' '' 'The injured were taken to Central University Hospital of Kigali while the dead were taken to Kacyiru District Hospital and Rwanda Military Hospital-Kanombe Ndushabandi said.' '' 'He blamed the accident on break failure and urged motorists to always ensure that their vehicles are roadworthy before hitting the road.' '' 'Police spokesperson Celestin Twahirwa later told Saturday Times that two people had already been discharged from hospital while five others had also showed good improvement.' '' '“Even the ninth person is responding to treatment well” he said adding “None of them is in critical condition and we expect them to be out of hospital soon.”' '' 'By press time Police had not yet released identities of the victims of the accident. ' '' 'Meanwhile at the scene of the accident police officers from the Firefighting Brigade and volunteers swung into action to clear wreckage and wash the bloodied tarmac.'],1
['An early morning road accident in Kabeza a Kigali suburb claimed two lives and left four others nursing serious injuries after a vehicle rammed into a motorcycle rider and his passenger killing them on the spot.' '' 'The accident occurred at around 6am.' '' 'Witnesses claimed that the driver seemed inebriated and was driving recklessly although this paper could not independently verify the witness accounts.' '' 'The Spokesperson of the Rwanda National Police Celestin Twahirwa said the injured were being treated in hospital.' '' 'This was the most serious accident that occurred during Christmas according to Twahirwa who urged the public to exercise caution on the roads to avoid endangering their lives and those of other road users.' '' 'He told The New Times that as of yesterday afternoon not a single motorist had called the Traffic Police to request for driving assistance service that the traffic department had offered to drunk motorists at no cost.' '' 'Twahirwa said other than the Kabeza accident there were no other major road incidents while those reported from across the country involved motorcycles.' '' '“Other accidents reported were minor and involved motorcycles and did not result into any deaths. There was one in the Southern Province and a few others in Kigali” Twahirwa said.' '' 'In Southern Province there was a minor accident when a motorcycle knocked a 6-year-old girl who was later attended to in hospital.' '' 'Another incident in Kicukiro in Kigali involved a motorcyclist who rammed into a car while in Nyarugege also in Kigali there was a collision between a motorcyclist and a cyclist.' '' 'Another child was hit by a motorcycle in Gikondo suburb of KIgali but was treated at a nearby health facility and discharged.' '' 'It was notable that on Christmas Eve there was heavy Police presence manning the main roads and ensuring security as people went about their business.' '' 'Twahirwa said incidents of drunk driving or reckless were very few on both Christmas Eve and Christmas Day.'],1
['Nineteen people died and several others were injured in two separate road accidents at the weekend.' '' 'Twelve people died on the spot while 14 others sustained serious injuries on Saturday night when a Toyota Hiace mini-bus (better known as Twegerane) they were travelling in collided head-on with a truck on the Kigali-Huye highway.' '' 'The accident occurred shortly after 8pm in Ryabitana Village Gacurabwenge Sector in Kamonyi District.' '' 'The accident occurred hours after seven children were knocked dead by a car in the northern Gakenke District on Friday as they returned home from a confirmation sacrament celebration in the area.' '' 'In the Kamonyi accident involving a Toyota Hiace and a Dyna truck the injured were evacuated by ambulance to the Kigali University Teaching Hospital (Chuk) where they were admitted in intensive unit.' '' '“The accident was due to speeding and reckless overtaking” Southern region Police spokesperson Hubert Gashagaza said.' '' 'Initial investigations indicate that the accident occurred when the driver of the Dyna truck tried to overtake a coaster bus and rammed into an oncoming passenger minibus killing a dozen occupants on the spot.' '' '“This is a tragedy that would have been avoided if the driver had respected traffic rules” CSP Gashagaza said.  “It is regrettable how such one-man’s error leads to such a huge loss.”' '' 'Police increases vigilance' '' 'Gashagaza said Police has taken measures and strengthened its presence on roads to ensure that drivers abide by existing traffic rules but said efforts from the force alone are not enough to curb road accidents.' '' 'He called upon drivers to be “responsible and respect traffic rules to avoid road fatalities.”' '' 'Similar other road accidents have claimed lives of dozens of individuals while scores of others sustained life-threatening injuries last month.' '' 'Last month Police announced that it had recorded at least 1324 road accidents between January and June with 97 deaths.' '' 'Many of the road accidents are attributed to speeding reckless driving especially with regards to overtaking and driving under the influence of alcohol.' '' 'The increasing accidents have prompted government to devise new road safety measures including the requirement for public transport buses and heavy trucks to install speed governors.' '' 'The New Times also learnt that the government is working on establishing a drivers’ code of conduct which is set to be unveiled in the coming months.' '' '“Drivers particularly those carrying passengers will be under scrutiny. There are vocational cards that will be given to drivers respecting the code. Errant drivers will receive heavy punishment including cancelling their licences” Deo Muvunyi the in-charge of transport at the Rwanda Utilities Regulatory Agency told this paper last week.'],1
['N/A'],1
